Management Accounts QSP ESS B.V. - Q3 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance sheet,,12/31/2018,,3/31/2019,,,,,,,,,,,,,,,,,,,,,,6/30/2025,,9/30/2025,Commentary on balance sheet
Deferred Tax Asset,,"  2,022,416 ",,"  2,220,572 ",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"8,384,004.00",Tax asset resulting from different deprecation treatment for fiscal and commercial accounting purposes
Real estate,,"  124,497,955 ",,"  123,197,741 ",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"101,235,467.16",Book value real estate
Financial fixed assets,,,,,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"36,148,941.00",Loan to DMRRP INV I (parrallel loan) and interest Swap
Accounts receivable,,"  157,594 ",,"  315,178 ",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"1,764,091.31",
Service costs to be settled,,,,,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"7,169.00",Service costs to be settled
Prepaid expenses,,  -   ,,"  332,349 ",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"141,326.30",Prepaid yearly property taxes
Cash,,"  2,063,319 ",,"  4,103,103 ",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"313,169.75",
Equity,,"  (1,804,577)",,"  (2,986,172)",,,,,,,,,,,,,,,,,,,,,,"  (11,443,465)",,"-12,755,589.00",
AC Shareholder,,"  110,497 ",,"  110,497 ",,,,,,,,,,,,,,,,,,,,,,"  1,253,891 ",,"139,750.00","Relates to the CIT payment by DMRRP INV - I B.V., for which funds from QSP ESS B.V. are transferred to DMRRP INV - I"
Bank loan,,"  (124,929,768)",,"  (124,929,768)",,,,,,,,,,,,,,,,,,,,,,"  (132,075,890)",,"-131,689,102.39",
Amortised fee,,,,,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"232,552.89",Amortised extension fee
Accounts payable,,"  (93,975)",,"  (139,637)",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"44,300.04",
Current account,,,,,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"11,917.52",Intercompany current account
VAT payable,,"  (6,845)",,"  2,096 ",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"-4,782.00",
Deposits,,"  (666,514)",,"  (678,422)",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"-1,035,055.71",
Rent Invoiced in advance,,"  (146,911)",,"  (120,768)",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,"-1,224,206.17",
Total (Equity Movement),,"  1,203,191 ",,"  1,426,769 ",,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,Equals net profit of the period 
,,,,,,,,,,,,"  11,480,356 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"  11,485,317 ",,,,,,,,,,,,,,,,
Profit & Loss,, 2018 - Actual , Q1 2019 , Q2 2018 - Q1 2019 - LTM , Q2 2019 , Q3 2019 , Q4 2019 , Q1 2020 , Q3 2020 , Q2 2021 , Q4 2021 , Q1 2022 , Q2 2022 , Q3 2022 , Q4 2022 , Q1 2023 , Q2 2023 , Q3 2023 , Q4 2023 , Q1 2024 , Q2 2024 , Q3 2024 , Q4 2024 , Q1 2025 , Q2 2025 , LTM Q2 2025 ,,,Commentary
Gross Theoretical rental income,,"  11,116,814 ","  2,797,626 ","  11,227,639 ","  2,785,968 ","  2,864,512 ","  2,858,133 ","  2,847,208 ","  2,826,464 ","  2,863,530 ","  2,862,440 ","  2,870,089 ","  2,871,329 ","  2,944,242 ","  2,950,963 ","  2,959,141 ","  2,984,948 ","  3,069,840 ","  3,070,217 ","  3,068,644 ","  3,065,862 ","  3,169,840 ","  3,186,800 ","  3,209,085 ","  3,200,540 ",#ERROR!,,"-12,869,985.47",
